Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
DDX54	0.006416446	0.932258357	0.96606628	178	178
DDX55	-0.070847942	0.347345003	0.566185813	178	178
PSMG3	-0.27364741	0.000219031	0.002834508	178	178
DDX58	0.085350064	0.257046127	0.471987196	178	178
DDX59	0.018074779	0.810742517	0.903648189	178	178
DDX5	-0.068889246	0.360524591	0.578819204	178	178
DDX60L	-0.080083708	0.287650873	0.505894879	178	178
DDX60	0.007067559	0.925403201	0.961668355	178	178
DDX6	0.149695349	0.046189776	0.156503878	178	178
DEAF1	-0.022685792	0.76374047	0.874848139	178	178
1-Dec	0.098970568	0.18872555	0.391525125	178	46
DECR1	0.211261087	0.004644073	0.030079236	178	178
DECR2	0.028698991	0.703742721	0.839500905	178	178
DEDD2	-0.190185743	0.010997778	0.056277956	178	178
DEDD	-0.130261041	0.083087345	0.23169763	178	178
DEF6	0.03081403	0.682765545	0.826862193	178	178
DEF8	0.035533592	0.637722148	0.797176868	178	178
DEFA1B	-0.080013674	0.288372856	0.50664459	178	110
DEFA4	0.037813631	0.616285451	0.782902254	178	54
DEFA5	-0.046682819	0.536063936	0.725191782	178	48
DEFA6	-0.065322817	0.386325262	0.602935732	178	45
DEFB103B	-0.173299488	0.020703619	0.088728515	178	42
DEFB109P1B	0.011055983	0.883549996	0.941205561	178	10
DEFB109P1	-0.017180677	0.819941119	0.908320207	178	6
DEFB119	0.073759745	0.327837854	0.546737432	178	15
DEFB124	-0.013555302	0.857478853	0.928219567	178	28
DEFB126	0.099690696	0.185513043	0.3881323	178	8
DEFB131	0.079020506	0.294418459	0.51275636	178	13
DEFB132	-0.023888986	0.751608945	0.868531748	178	35
MCHR1	-0.274008864	0.000214694	0.002780199	178	173
DEFB4A	-0.019189975	0.799305633	0.897185297	178	34
DEGS1	-0.096763692	0.198625338	0.404261019	178	178
DEGS2	-0.014387265	0.848833054	0.923308478	178	178
DEK	-0.020260052	0.788371426	0.891063376	178	178
DEM1	0.056987495	0.449909603	0.660713887	178	178
DENND1A	-0.09367526	0.213604291	0.42276161	178	178
DENND1B	0.094778435	0.208025733	0.415966229	178	178
DENND1C	0.17995721	0.016335297	0.074927896	178	178
DENND2A	0.012170068	0.871793417	0.935599183	178	178
DENND2C	0.234658275	0.001617035	0.013566082	178	178
DENND2D	0.002862982	0.969725385	0.985575132	178	178
DENND3	0.006385595	0.932583284	0.9660858	178	178
AFMID	0.274221922	0.000212175	0.00274938	178	178
DENND4B	-0.082086162	0.276026165	0.492745453	178	178
DENND4C	0.181026536	0.015597796	0.072765971	178	178
DENND5A	0.103255671	0.17004384	0.367910178	178	178
DENND5B	0.099068121	0.188105168	0.391095613	178	178
DENR	-0.066665674	0.376263747	0.593604542	178	178
DEPDC1B	-0.175295155	0.019368032	0.08463723	178	178
DEPDC1	-0.238882937	0.001358908	0.011947995	178	177
DEPDC4	0.188745107	0.011728849	0.058978955	178	177
DEPDC5	-0.117409932	0.118505024	0.291563039	178	178
DEPDC6	0.048068524	0.523659886	0.716697854	178	178
DEPDC7	0.131857972	0.079348395	0.224475922	178	177
DERA	0.154618144	0.039327933	0.140247166	178	178
DERL1	-0.008024019	0.915343339	0.9572123	178	178
DERL2	0.237599861	0.001444319	0.012504365	178	178
DERL3	0.069240373	0.358421904	0.577152705	178	178
DES	-0.056013805	0.457335804	0.667160323	178	177
DET1	0.122718909	0.102697678	0.266816962	178	178
DEXI	-0.022527257	0.765343309	0.876057805	178	178
DFFA	0.025705147	0.733412595	0.857244027	178	178
DFFB	-0.015150097	0.840921449	0.919304643	178	178
DFNA5	0.021955925	0.771127883	0.880487513	178	178
DFNB31	-0.057188362	0.44794501	0.659297702	178	178
DFNB59	-0.005813208	0.938613916	0.969451637	178	178
GABRG2	0.27423958	0.000211968	0.002748492	178	151
DGAT2L6	0.062792112	0.405030203	0.620204388	178	18
C7orf40	-0.275270792	0.000211243	0.00274089	178	178
DGCR10	0.052314406	0.487983907	0.689758098	178	145
DGCR11	-0.02012386	0.789566072	0.891705952	178	178
DGCR14	-0.108089188	0.150962286	0.341534477	178	178
DGCR2	0.036083596	0.632522604	0.793875085	178	178
PPP1R13B	0.275372927	0.000210065	0.002727392	178	178
DGCR6L	-0.009856085	0.896112857	0.94732615	178	178
DGCR6	-0.056413896	0.454491224	0.6652683	178	178
DGCR8	0.00683563	0.927844429	0.962940073	178	178
DGCR9	0.144641853	0.054065744	0.174403918	178	178
DGKA	-0.20943816	0.00509383	0.032283782	178	178
FOXO3B	0.274468749	0.000209291	0.002719139	178	178
DGKD	-0.113967179	0.129838504	0.309105055	178	178
DGKE	-0.012953106	0.863621582	0.931249491	178	178
DGKG	-0.011405123	0.879899831	0.939326203	178	178
DGKH	0.0028949	0.969387914	0.985434743	178	178
DGKI	-0.129096058	0.085903231	0.237009975	178	176
DGKK	0.084959178	0.259509612	0.474847508	178	18
DGKQ	-0.209692546	0.004965877	0.031702159	178	178
DGKZ	-0.077215489	0.305620144	0.524913812	178	178
MYCL1	0.275585709	0.00020763	0.002699323	178	178
DHCR24	0.118320639	0.115660262	0.287286154	178	178
DHCR7	-0.005918532	0.937451309	0.968706218	178	178
DHDDS	-0.237519004	0.001449863	0.012535894	178	178
DHDH	-0.18474384	0.013559983	0.065558704	178	178
GPRIN2	0.275606987	0.000207388	0.002697951	178	178
DHFRL1	0.217334501	0.003630678	0.02505865	178	178
DHFR	-0.169222356	0.024042971	0.098964552	178	178
DHH	0.113118118	0.13265088	0.313910784	178	177
DHODH	-0.024076312	0.749725562	0.867369135	178	178
DHPS	-0.129529139	0.084847631	0.235081555	178	178
DHRS11	-0.046748237	0.535492161	0.72488013	178	178
DHRS12	0.228294903	0.002226432	0.017332865	178	178
DHRS13	0.060899313	0.419364779	0.633645537	178	178
DHRS1	-0.033633391	0.655523159	0.808971766	178	178
DHRS2	0.22257745	0.002881388	0.021083091	178	178
DHRS3	0.186834325	0.012619345	0.062135192	178	178
DHRS4L1	0.207346512	0.005561248	0.034343571	178	178
DHRS4L2	0.009497526	0.899781611	0.949149526	178	178
DHRS4	0.159477194	0.033475892	0.124731916	178	178
DHRS7B	0.216348371	0.003725152	0.025514777	178	178
DHRS7C	0.081638181	0.278664214	0.495977152	178	32
DHRS7	0.120708053	0.108455713	0.276124403	178	178
DHRS9	0.0460322	0.541414246	0.729236789	178	178
DHRSX	0.021584621	0.774894037	0.88282179	178	178
CHI3L1	0.274729408	0.000206286	0.002690122	178	178
DHX15	-0.03558787	0.637208227	0.797024194	178	178
DHX16	0.042539451	0.572887628	0.751960169	178	178
DHX29	0.043565016	0.563663112	0.745593309	178	178
DHX30	-0.079264708	0.292924198	0.511324426	178	178
DHX32	0.017705611	0.814537481	0.905515811	178	178
DHX33	0.025009336	0.740130528	0.861682352	178	178
DHX34	-0.106583752	0.156768757	0.350078531	178	178
DHX35	-0.215951418	0.003855699	0.026219093	178	178
DHX36	0.068358427	0.364591446	0.58260455	178	178
DHX37	0.018965282	0.801606623	0.898199827	178	178
DHX38	-0.077146335	0.306054806	0.52539948	178	178
DHX40P1	0.014940233	0.84309647	0.920608463	178	65
DHX40	0.153396938	0.040927199	0.143679927	178	178
DHX57	0.039579627	0.599900647	0.770813988	178	178
DHX58	0.009650734	0.898265543	0.948595842	178	178
DHX8	-0.023576286	0.754756113	0.870120213	178	178
DHX9	0.007393116	0.92197765	0.96001376	178	178
DIABLO	-0.096027466	0.20207478	0.40890572	178	178
DIAPH1	-0.031805594	0.673135289	0.821184355	178	178
DIAPH2	-0.029545864	0.695428198	0.835049993	178	178
DIAPH3	-0.235606094	0.001586832	0.013392241	178	178
DICER1	0.245208947	0.001001559	0.009467915	178	178
DIDO1	-0.0993874	0.186861133	0.389561628	178	178
DIMT1L	0.180020076	0.016193545	0.074521852	178	178
DIO1	0.072200243	0.338196151	0.556965994	178	158
DIO2	-0.110177471	0.143069847	0.329630096	178	178
DIO3OS	-0.072769036	0.334394305	0.553331631	178	173
DIO3	0.134919765	0.072587707	0.212078799	178	177
DIP2A	-0.02441993	0.746042879	0.865285465	178	178
DIP2B	-0.065733688	0.382984054	0.599458046	178	178
DIP2C	0.101487453	0.17750618	0.377704424	178	178
CRAT	0.274697636	0.00020665	0.002690122	178	178
DIRAS2	0.217030222	0.003679139	0.025287209	178	177
LOC100128640	0.275683589	0.000206519	0.002690122	178	178
DIRC1	-0.032315506	0.668493156	0.818196563	178	147
STK32A	0.274709445	0.000206514	0.002690122	178	174
DIRC3	-0.095421088	0.205155273	0.412261188	178	177
DIS3L2	-0.111313786	0.139073722	0.323608004	178	178
DIS3L	0.195513808	0.008912502	0.048517766	178	178
DIS3	-0.096926522	0.19806532	0.403487976	178	178
DISC1	0.16367096	0.029035728	0.113228719	178	178
DISC2	-0.137392336	0.067427977	0.202540001	178	79
DISP1	0.123810415	0.099626261	0.261899719	178	178
DISP2	-0.040533913	0.590795335	0.764604159	178	178
DIXDC1	0.116614127	0.121035234	0.295147456	178	178
DKC1	-0.035076054	0.641754651	0.800172909	178	178
DKFZP434H168	-0.012520829	0.86825273	0.933944381	178	49
DKFZP434K028	-0.010938577	0.884778007	0.941543683	178	138
ZNF595	0.274750978	0.000206039	0.002689248	178	178
DKFZP586I1420	-0.059750353	0.428208484	0.642172954	178	178
DKFZP686I15217	-0.044708696	0.553111613	0.737656237	178	178
DKFZp434J0226	-0.185749532	0.013050421	0.063797042	178	175
DKFZp434L192	0.031464438	0.676726902	0.823226941	178	5
DKFZp566F0947	-0.016734383	0.824541911	0.910865461	178	158
DKFZp686A1627	0.03698089	0.624078518	0.788134252	178	4
DKFZp686O24166	-0.007256931	0.923343524	0.960755359	178	178
DKFZp761E198	0.114634251	0.127592704	0.305344857	178	178
DLG2	0.275758063	0.000205677	0.002686611	178	177
DKK1	-0.018715353	0.804168056	0.900163274	178	174
DKK2	0.16287294	0.029939676	0.115449912	178	177
DKK3	-0.07199803	0.339554363	0.558311155	178	178
DKK4	-0.058234452	0.440039644	0.652951592	178	164
DKKL1	0.14383277	0.055438902	0.177324428	178	152
DLAT	-0.015680988	0.835424715	0.916232473	178	178
DLC1	0.039308309	0.602405187	0.772600867	178	178
DLD	0.089507872	0.234771528	0.447739508	178	178
DLEC1	0.042887282	0.569408167	0.749242998	178	178
DLEU1	-0.066199681	0.379614815	0.596477842	178	178
DLEU2L	-0.009347271	0.901448095	0.949818012	178	168
DLEU2	-0.168800074	0.024297316	0.099578499	178	178
DLEU7	-0.00451845	0.952267745	0.976667137	178	174
DLG1	-0.131315307	0.080603435	0.226979825	178	178
THSD7A	0.275755935	0.000205701	0.002686611	178	178
DLG3	0.231516423	0.001920172	0.015415947	178	178
DLG4	-0.033833407	0.653607154	0.808231372	178	178
DLG5	-0.040906325	0.587721769	0.762368801	178	178
DLGAP1	0.018361112	0.807802101	0.901984938	178	163
C20orf194	0.274808137	0.000205386	0.002686044	178	178
DLGAP3	0.072753368	0.334166515	0.553093553	178	178
DLGAP4	-0.201073698	0.007202115	0.041399597	178	178
DLGAP5	-0.190638006	0.010805418	0.055642276	178	178
ZMYND11	0.275904882	0.000204027	0.002670036	178	178
DLK2	-0.051964563	0.490537693	0.691367951	178	177
DLL1	0.030743828	0.683728646	0.827457578	178	178
DLL3	-0.066848789	0.375303546	0.592884334	178	159
DLL4	-0.068053013	0.366394914	0.58434508	178	178
DLST	-0.01411067	0.85170549	0.924551184	178	178
DLX1	0.069428877	0.357111742	0.57628905	178	172
DLX2	-0.038303861	0.611717616	0.779562681	178	133
GAB3	0.275057092	0.000202564	0.002652651	178	178
DLX4	0.028923615	0.701533913	0.838064242	178	174
DLX5	-0.177273059	0.01792155	0.080158501	178	177
DLX6AS	-0.142383826	0.057969989	0.182210956	178	80
DLX6	-0.046248683	0.539866175	0.727764257	178	121
DMAP1	0.037316648	0.620612735	0.785759447	178	178
DMBT1	0.145641852	0.052474399	0.170718783	178	177
DMBX1	-0.088296785	0.241190165	0.454430904	178	170
DMC1	-0.063635827	0.398735311	0.614689497	178	175
ACOT7	-0.275262573	0.000200262	0.002624247	178	178
CDC14B	0.276349597	0.000199104	0.002610794	178	178
DMKN	0.081258308	0.280914476	0.498289184	178	178
DMP1	-0.073337801	0.330620075	0.549654955	178	137
DMPK	-0.033658925	0.655278437	0.808931583	178	178
DMRT1	-0.041127362	0.585703754	0.76110311	178	57
DMRT2	0.106480663	0.157172431	0.350674424	178	162
TBC1D8	0.275429461	0.000198411	0.002603436	178	178
N4BP3	-0.276449604	0.000198012	0.002599927	178	178
DMRTA2	-0.084489866	0.262160204	0.478068746	178	106
DMRTB1	0.04332924	0.565777519	0.746897604	178	15
ETNK2	0.276504927	0.000197411	0.002593751	178	178
DMRTC1	-0.01314555	0.861743322	0.930594312	178	29
DMRTC2	-0.150706467	0.044644059	0.152758544	178	27
DMTF1	-0.044205514	0.557938343	0.741524873	178	178
DMWD	-0.121508114	0.106121895	0.272561937	178	178
DMXL1	0.171406655	0.022155225	0.093288526	178	178
DMXL2	0.123590252	0.100260899	0.263008626	178	178
DNA2	-0.092544224	0.218983476	0.428815534	178	178
DNAH10	-0.001763964	0.981356389	0.99135388	178	178
IL12RB2	0.275699694	0.000195447	0.002569657	178	177
DNAH12	0.225480517	0.002476815	0.018864674	178	175
DNAH14	0.066842354	0.375349617	0.592884334	178	177
DNAH17	-0.113363942	0.13189548	0.312684478	178	178
DNAH1	-0.053650918	0.476921858	0.682144869	178	178
DNAH2	-0.067846614	0.367852887	0.585567782	178	178
DNAH3	-0.134203404	0.074104078	0.215241139	178	174
DNAH5	0.087800295	0.243856588	0.457290659	178	178
DNAH6	0.007612277	0.919601734	0.959031944	178	178
PAMR1	0.276719837	0.00019509	0.002566673	178	178
DNAH8	0.063448598	0.400127147	0.615824579	178	138
FAM22D	0.275790127	0.000194464	0.002560141	178	178
DNAI1	0.191268543	0.010542185	0.054628186	178	163
DNAI2	-0.018101844	0.810464471	0.903601659	178	95
DNAJA1	-0.047289767	0.530770684	0.721635004	178	178
DNAJA2	-0.147201701	0.049905398	0.164938882	178	178
DNAJA3	-0.120865576	0.108035872	0.275580667	178	178
CXorf21	0.275859428	0.000193714	0.002553587	178	178
DNAJB11	-0.065805005	0.382821551	0.599444268	178	178
DNAJB12	0.134083603	0.074364964	0.215619379	178	178
DNAJB13	0.06363706	0.398726154	0.614689497	178	174
DNAJB14	0.047071666	0.532669739	0.7229246	178	178
DNAJB1	-0.150829558	0.04446805	0.152288055	178	178
DNAJB2	-0.028438348	0.706308829	0.841217737	178	178
DNAJB3	0.03879213	0.607182881	0.776389751	178	88
DNAJB4	0.107043192	0.154849651	0.347283317	178	178
DNAJB5	-0.126125484	0.09341642	0.250368159	178	178
DNAJB6	-0.083596784	0.26725525	0.483327722	178	178
DNAJB7	-0.073861007	0.327172399	0.545903891	178	170
DNAJB8	-0.010784982	0.886384937	0.942388864	178	8
DNAJB9	0.180006149	0.016305795	0.074879693	178	178
DNAJC10	-0.031392813	0.677421607	0.823568082	178	178
DNAJC11	-0.037424163	0.619924959	0.785497667	178	178
DNAJC12	0.171573689	0.02202369	0.092836589	178	178
DNAJC13	0.046002411	0.541676175	0.729490205	178	178
DNAJC14	-0.019006755	0.800997249	0.897745259	178	178
DNAJC15	-0.009363478	0.901278084	0.949818012	178	178
DNAJC16	0.143380055	0.056219729	0.178699394	178	178
DNAJC17	-0.017646023	0.815150445	0.905838208	178	178
DNAJC18	0.069280765	0.357796415	0.576709025	178	178
DNAJC19	-0.070961932	0.346567848	0.565385087	178	178
DNAJC1	0.09712978	0.197121843	0.402134255	178	178
DNAJC21	0.01007949	0.893771762	0.945913232	178	178
DNAJC22	0.242598111	0.001137022	0.01044286	178	178
DNAJC24	0.019645122	0.794649973	0.8950308	178	178
DNAJC25-GNG10	0.052011301	0.4905116	0.691367951	178	34
DNAJC25	0.016187419	0.830188662	0.913880499	178	178
DNAJC27	0.15499575	0.038933262	0.139260883	178	178
MERTK	0.276836867	0.000193837	0.002553587	178	178
DNAJC2	-0.190350649	0.010927292	0.056080011	178	178
DNAJC30	0.000471313	0.995018202	0.997664575	178	178
DNAJC3	0.212872462	0.004402441	0.028854448	178	178
DNAJC4	0.106260154	0.157903797	0.351778918	178	178
DNAJC5B	0.238596872	0.001339859	0.011838412	178	176
DNAJC5G	-0.103867836	0.167666243	0.364774154	178	15
DNAJC5	-0.046832261	0.534403185	0.724112106	178	178
DNAJC6	0.206201745	0.005833029	0.035698642	178	178
DNAJC7	-0.053112579	0.481361139	0.685173852	178	178
DNAJC8	-0.037533686	0.618580881	0.784392609	178	178
DNAJC9	-0.17472962	0.01966208	0.085581765	178	178
DNAL1	-0.006829239	0.927849344	0.962940073	178	178
DNAL4	-0.006524964	0.931115471	0.965539741	178	178
DNALI1	0.125615938	0.094772489	0.253110642	178	178
DNASE1L1	-0.162477339	0.030245141	0.11615215	178	178
DNASE1L2	-0.094785984	0.20820057	0.416011145	178	176
DNASE1L3	0.201567361	0.006974745	0.040469073	178	174
TGFB2	0.275875239	0.000193543	0.002553119	178	178
DNASE2B	0.244062196	0.001026919	0.009655874	178	168
DNASE2	0.086533132	0.250491825	0.464611701	178	178
DND1	-0.112639359	0.134306195	0.316842127	178	178
DNER	0.161021737	0.031875889	0.120449804	178	178
DNHD1	-0.043280929	0.565866914	0.746897604	178	178
DNLZ	-0.133143106	0.076438999	0.219148928	178	178
DNM1L	-0.139239314	0.063791219	0.194992666	178	178
DNM1P35	-0.043425644	0.564912529	0.74642123	178	178
DNM1	-0.120005873	0.110537087	0.279401809	178	178
DNM2	-0.14622913	0.051522102	0.16861346	178	178
DNM3	0.153025388	0.041509717	0.145276661	178	178
DNMBP	0.088568439	0.239739876	0.453127157	178	178
DNMT1	-0.118387728	0.115510223	0.287235809	178	178
DNMT3A	0.123316761	0.100991818	0.264294893	178	178
MMRN1	0.276900702	0.000193157	0.002549721	178	178
DNMT3L	-0.150855012	0.044431726	0.152190015	178	31
DNPEP	-0.139002284	0.064248757	0.195902919	178	178
PRCP	0.275931627	0.000192936	0.002548503	178	178
DNTTIP2	-0.11975379	0.111341199	0.28082409	178	178
DNTT	-0.005752092	0.939258048	0.969762356	178	39
DOC2A	-0.044766147	0.552601305	0.737548046	178	178
SALL2	0.277004965	0.000192051	0.002538507	178	178
DOCK10	0.099640505	0.185556634	0.388149958	178	178
DOCK11	0.040880747	0.58762037	0.762341241	178	178
DOCK1	0.198354555	0.007950598	0.04456211	178	178
DOCK2	0.181118999	0.015647398	0.072922847	178	178
DOCK3	-0.0015182	0.983948326	0.992376239	178	178
DOCK4	0.240543829	0.001219553	0.011021686	178	178
DOCK5	-0.002142716	0.97735427	0.989514276	178	178
DOCK6	-0.071704581	0.341531534	0.560544866	178	178
DOCK7	0.031491757	0.676461995	0.823106607	178	178
DOCK8	0.132288856	0.078363135	0.222861014	178	178
DOCK9	0.040766952	0.588995842	0.763132799	178	178
DOHH	-0.118494119	0.115181225	0.286766775	178	178
DOK1	0.075735548	0.315010834	0.534130015	178	178
DOK2	0.184334136	0.013874009	0.066674767	178	178
DOK3	0.126928804	0.091344762	0.246755646	178	178
DOK4	-0.119058993	0.113393263	0.284056109	178	178
DOK5	0.09050582	0.229573384	0.441188571	178	178
DOK6	0.152863674	0.0417274	0.145780497	178	178
DOK7	0.170260732	0.023180684	0.09615583	178	177
DOLK	0.044025666	0.559196133	0.742565599	178	178
DOLPP1	-0.115639647	0.124264638	0.300649571	178	178
DOM3Z	-0.094033698	0.211633535	0.420544822	178	178
DONSON	-0.134086795	0.074358004	0.215619379	178	178
DOPEY1	0.240971521	0.001194488	0.010839743	178	178
DOPEY2	-0.053887078	0.474981461	0.68073543	178	178
DOT1L	0.007080322	0.925203848	0.961668355	178	178
DPAGT1	0.069079723	0.359540839	0.57806005	178	178
DPCD	-0.194427658	0.009306677	0.04990901	178	178
DPCR1	0.075078345	0.319240638	0.53798337	178	172
ORC6L	-0.277094334	0.000191107	0.002527725	178	178
DPEP2	0.189272907	0.011395242	0.057717602	178	178
DPEP3	-0.011544441	0.878443998	0.938656591	178	142
DPF1	-0.118340111	0.115657711	0.287286154	178	173
DPF2	0.032043927	0.67111634	0.819530323	178	178
DPF3	0.122438037	0.103493038	0.268038158	178	178
DPH1	0.157112931	0.036316565	0.132275512	178	178
DPH2	-0.140769143	0.060953009	0.188472995	178	178
DPH3B	0.064050583	0.395304154	0.611830334	178	178
DPH3	-0.052126361	0.489551256	0.690593836	178	178
DPH5	0.064431462	0.392495533	0.609008683	178	178
DPM1	-0.082168972	0.275252563	0.491843163	178	178
DPM2	-0.04485126	0.551845715	0.73701183	178	178
DPM3	-0.020430267	0.786438399	0.8900036	178	178
NUCB2	0.277164552	0.000190369	0.002519645	178	178
DPP3	-0.028175532	0.70863859	0.842408289	178	178
DPP4	-0.078189948	0.299230153	0.518143662	178	178
ARHGAP29	0.27718583	0.000190145	0.002518377	178	178
DPP7	0.028209578	0.70830253	0.842272947	178	178
DPP8	0.124172211	0.09865902	0.260187177	178	178
DPP9	-0.14114379	0.060211061	0.186839669	178	178
DPPA2	-0.160173651	0.032700917	0.122606736	178	17
DPPA3	-0.039663913	0.599123555	0.770811127	178	44
DPPA4	0.050925975	0.499619437	0.698453409	178	124
DPPA5	-0.057306661	0.447371551	0.658845985	178	17
DPRXP4	0.120600611	0.108816535	0.276822098	178	162
DPRX	-0.052878315	0.483299881	0.686691512	178	14
DPT	0.20392945	0.006326859	0.03768961	178	178
DPY19L1	-0.138375566	0.065471459	0.198081312	178	178
DPY19L2P1	0.045621254	0.545384854	0.732423072	178	145
DPY19L2P2	-0.050413409	0.503951529	0.702214138	178	178
DPY19L2P4	0.181547931	0.015296754	0.071669047	178	169
DPY19L2	0.181087082	0.015665952	0.072974921	178	178
DPY19L3	0.071042638	0.346018276	0.564674869	178	178
DPY19L4	0.148516537	0.047948908	0.160373437	178	178
DPY30	-0.094539106	0.209393064	0.417519255	178	178
DPYD	0.153633044	0.040613808	0.142823659	178	178
DPYSL2	-0.150747637	0.044585125	0.152609706	178	178
DPYSL3	-0.10983702	0.144315308	0.331400639	178	178
DPYSL4	-0.007222886	0.923702108	0.960875664	178	177
GPSM2	-0.276280589	0.000189214	0.00250772	178	178
RIC8B	0.276419962	0.000187746	0.002489938	178	178
DQX1	-0.143330737	0.056305336	0.178913984	178	174
DR1	-0.09823726	0.192038463	0.395972318	178	178
DRAM1	0.024036935	0.750121343	0.867674726	178	178
DRAM2	-0.057173467	0.44806341	0.659422884	178	178
DRAP1	-0.159662145	0.033268586	0.124146635	178	178
DRD1	-0.120366755	0.10950921	0.277833604	178	173
DRD2	0.084181935	0.263909387	0.480142054	178	176
DRD3	0.028706158	0.703672216	0.839482015	178	20
DRD4	-0.140498277	0.061405566	0.189431776	178	173
DRD5	0.162303185	0.030425137	0.116639524	178	116
DRG1	-0.019198299	0.799220423	0.897185297	178	178
DRG2	0.093041169	0.216733795	0.426297609	178	178
DRGX	-0.033588347	0.656252612	0.809308169	178	41
DRP2	0.137780693	0.066649566	0.200811904	178	176
DSC1	-0.134511745	0.073436023	0.213893638	178	96
DSC2	0.127056541	0.091016601	0.246138166	178	178
DSC3	-0.022921993	0.761354269	0.873666394	178	175
NLRC4	0.277458191	0.00018731	0.002485817	178	178
SMYD3	-0.27751777	0.000186695	0.002479319	178	178
DSCC1	-0.062947341	0.403867651	0.619123881	178	178
DSCR10	-0.107908339	0.151651107	0.342459681	178	5
DSCR3	0.220128329	0.00321195	0.022887607	178	178
DSCR4	-0.071267964	0.344486821	0.56288477	178	21
DSCR6	0.004621631	0.9511791	0.976107505	178	178
DSCR8	0.091005071	0.227003561	0.438784792	178	49
DSCR9	-0.050693831	0.501579033	0.700291167	178	167
C6orf122	0.276577568	0.0001861	0.002473073	178	178
DSE	0.030388466	0.686914603	0.829144754	178	178
DSG1	-0.008732177	0.907903634	0.953235886	178	144
DSG2	0.102034357	0.175335641	0.375022928	178	178
DSG3	-0.118134782	0.116295362	0.288245736	178	171
DSG4	-0.234372818	0.001639028	0.0136925	178	116
PRKCH	0.276593379	0.000185935	0.002472549	178	178
DSPP	0.022178908	0.768868729	0.878967197	178	36
DSP	0.177853954	0.017543346	0.07908646	178	178
DSTN	0.056325561	0.455199104	0.665591265	178	178
RERE	0.276662533	0.000185217	0.002464662	178	178
DST	0.193503016	0.009654311	0.051167072	178	178
DTD1	-0.104768552	0.163846695	0.359191192	178	178
DTHD1	0.128225829	0.088056147	0.241233339	178	164
DTL	-0.165333853	0.027419792	0.108915471	178	178
FBXO3	0.277717785	0.000184644	0.002458689	178	178
DTNBP1	0.118188714	0.116069018	0.28782904	178	178
DTNB	0.085784139	0.25462771	0.46928962	178	178
DTWD1	0.109960492	0.14397299	0.330845078	178	178
DTWD2	0.189057897	0.011588476	0.05836743	178	178
SCML4	0.276738071	0.000184436	0.002457577	178	178
DTX2	-0.171746042	0.021888671	0.092452626	178	178
DTX3L	0.045438611	0.546996526	0.733422556	178	178
DTX3	0.031662	0.674812106	0.822164907	178	178
DTX4	-0.055752083	0.459443181	0.668519408	178	178
DTYMK	-0.128429982	0.087547247	0.240372015	178	178
DULLARD	0.031867301	0.672537718	0.820617858	178	178
DUOX1	-0.115939608	0.123212533	0.298899348	178	178
DUOX2	0.194671087	0.009309233	0.04990901	178	177
DUOXA1	-0.148741101	0.047534194	0.159404444	178	176
DUOXA2	0.178866797	0.016900489	0.076898542	178	176
DUPD1	-0.05409616	0.473267137	0.679838274	178	16
DUS1L	-0.026223271	0.728248041	0.855084787	178	178
DUS2L	-0.176333532	0.018653223	0.0825459	178	178
DUS3L	-0.066829516	0.37508984	0.592884334	178	178
DUS4L	-0.195473275	0.009018275	0.0488836	178	178
DUSP10	-0.108370951	0.149773065	0.339525465	178	178
DUSP11	-0.126804259	0.091655406	0.247297186	178	178
DUSP12	-0.184742677	0.013661798	0.065938101	178	178
DUSP13	0.058994896	0.434081507	0.647862789	178	116
DUSP14	-0.047168456	0.531470694	0.722040639	178	178
DUSP15	0.188587649	0.011800078	0.059176958	178	178
MAD1L1	-0.277877372	0.000183023	0.002440388	178	178
DUSP18	-0.244025879	0.00106099	0.009886904	178	178
DUSP19	0.201962171	0.006862504	0.039979109	178	178
DUSP1	-0.03827206	0.612013477	0.779815355	178	178
DUSP21	0.059140455	0.432946336	0.646913568	178	6
DUSP22	0.212551274	0.004393547	0.028824819	178	178
DUSP23	0.119229218	0.112875578	0.283105237	178	178
C17orf108	0.277894394	0.000182851	0.002439738	178	178
DUSP27	0.181923588	0.015083014	0.070910965	178	160
DUSP28	0.019668507	0.794220357	0.894713915	178	178
DUSP2	-0.080449694	0.285448186	0.503250038	178	178
DUSP3	0.122233896	0.104074154	0.269155416	178	178
DUSP4	-0.010003947	0.894467515	0.94639631	178	178
DUSP5P	-0.004645118	0.950931296	0.975955388	178	172
DUSP5	-0.05427112	0.471469089	0.678418699	178	178
DUSP6	-0.125178604	0.095917939	0.255182044	178	178
DUSP7	-0.093433703	0.214792644	0.424010157	178	178
DUSP8	-0.095925331	0.202556721	0.40946193	178	178
DUSP9	0.021767715	0.773036241	0.881928453	178	163
DUT	-0.082855327	0.271536242	0.488430485	178	178
DUXA	-0.075380016	0.317294509	0.536117374	178	31
DVL1	-0.050008059	0.507391321	0.704541754	178	178
DVL2	-0.014839442	0.84414148	0.921296701	178	178
DVL3	-0.080266829	0.286845221	0.505000709	178	178
DVWA	-0.044170181	0.558253418	0.741762067	178	117
DYDC1	-0.073410259	0.330141224	0.54912503	178	37
DYDC2	0.19924842	0.007667607	0.043332171	178	170
KCNJ8	0.27694447	0.000182318	0.00243427	178	178
DYNC1H1	0.068173271	0.365894995	0.583955418	178	178
DYNC1I1	0.077989933	0.300470926	0.519453759	178	178
